4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Bulgaria,All undergraduate,Full-time,2021/22,South East,575
All,Bulgaria,All undergraduate,Full-time,2021/22,South West,245
All,Bulgaria,All undergraduate,Full-time,2021/22,The Open University in England,0
All,Bulgaria,All undergraduate,Full-time,2021/22,England,2735
All,Bulgaria,All undergraduate,Full-time,2021/22,Wales,120
All,Bulgaria,All undergraduate,Full-time,2021/22,Scotland,610
All,Bulgaria,All undergraduate,Full-time,2021/22,Northern Ireland,5
All,Bulgaria,All undergraduate,Full-time,2021/22,Total United Kingdom,3470
All,Bulgaria,All undergraduate,Part-time,2021/22,North East,0
All,Bulgaria,All undergraduate,Part-time,2021/22,North West,5
All,Bulgaria,All undergraduate,Part-time,2021/22,Yorkshire and The Humber,5
All,Bulgaria,All undergraduate,Part-time,2021/22,East Midlands,0
All,Bulgaria,All undergraduate,Part-time,2021/22,West Midlands,20
All,Bulgaria,All undergraduate,Part-time,2021/22,East of England,10
All,Bulgaria,All undergraduate,Part-time,2021/22,London,30
All,Bulgaria,All undergraduate,Part-time,2021/22,South East,20
All,Bulgaria,All undergraduate,Part-time,2021/22,South West,10
All,Bulgaria,All undergraduate,Part-time,2021/22,The Open University in England,0
All,Bulgaria,All undergraduate,Part-time,2021/22,England,95
All,Bulgaria,All undergraduate,Part-time,2021/22,Wales,5
All,Bulgaria,All undergraduate,Part-time,2021/22,Scotland,25
All,Bulgaria,All undergraduate,Part-time,2021/22,Northern Ireland,0
All,Bulgaria,All undergraduate,Part-time,2021/22,Total United Kingdom,125
All,Bulgaria,All undergraduate,All,2021/22,North East,65
All,Bulgaria,All undergraduate,All,2021/22,North West,305
All,Bulgaria,All undergraduate,All,2021/22,Yorkshire and The Humber,180
All,Bulgaria,All undergraduate,All,2021/22,East Midlands,150
All,Bulgaria,All undergraduate,All,2021/22,West Midlands,250
All,Bulgaria,All undergraduate,All,2021/22,East of England,250
All,Bulgaria,All undergraduate,All,2021/22,London,785
All,Bulgaria,All undergraduate,All,2021/22,South East,595
All,Bulgaria,All undergraduate,All,2021/22,South West,255
All,Bulgaria,All undergraduate,All,2021/22,The Open University in England,0
All,Bulgaria,All undergraduate,All,2021/22,England,2830
All,Bulgaria,All undergraduate,All,2021/22,Wales,125
All,Bulgaria,All undergraduate,All,2021/22,Scotland,640
All,Bulgaria,All undergraduate,All,2021/22,Northern Ireland,5
All,Bulgaria,All undergraduate,All,2021/22,Total United Kingdom,3600
All,Greece,All,Full-time,2021/22,North East,445
All,Greece,All,Full-time,2021/22,North West,335
All,Greece,All,Full-time,2021/22,Yorkshire and The Humber,305
All,Greece,All,Full-time,2021/22,East Midlands,240
All,Greece,All,Full-time,2021/22,West Midlands,340
All,Greece,All,Full-time,2021/22,East of England,365
All,Greece,All,Full-time,2021/22,London,1725
All,Greece,All,Full-time,2021/22,South East,1020
All,Greece,All,Full-time,2021/22,South West,495
All,Greece,All,Full-time,2021/22,The Open University in England,0
All,Greece,All,Full-time,2021/22,England,5265
All,Greece,All,Full-time,2021/22,Wales,240
All,Greece,All,Full-time,2021/22,Scotland,855
All,Greece,All,Full-time,2021/22,Northern Ireland,20
All,Greece,All,Full-time,2021/22,Total United Kingdom,6380
All,Greece,All,Part-time,2021/22,North East,40
All,Greece,All,Part-time,2021/22,North West,60
All,Greece,All,Part-time,2021/22,Yorkshire and The Humber,40
All,Greece,All,Part-time,2021/22,East Midlands,25
All,Greece,All,Part-time,2021/22,West Midlands,60
All,Greece,All,Part-time,2021/22,East of England,45
All,Greece,All,Part-time,2021/22,London,210
All,Greece,All,Part-time,2021/22,South East,70
All,Greece,All,Part-time,2021/22,South West,40
All,Greece,All,Part-time,2021/22,The Open University in England,0
All,Greece,All,Part-time,2021/22,England,585
All,Greece,All,Part-time,2021/22,Wales,35
All,Greece,All,Part-time,2021/22,Scotland,100
All,Greece,All,Part-time,2021/22,Northern Ireland,5
All,Greece,All,Part-time,2021/22,Total United Kingdom,720
All,Greece,All,All,2021/22,North East,480
All,Greece,All,All,2021/22,North West,395
All,Greece,All,All,2021/22,Yorkshire and The Humber,345
All,Greece,All,All,2021/22,East Midlands,260
All,Greece,All,All,2021/22,West Midlands,395
All,Greece,All,All,2021/22,East of England,405
All,Greece,All,All,2021/22,London,1935
All,Greece,All,All,2021/22,South East,1095
All,Greece,All,All,2021/22,South West,530
All,Greece,All,All,2021/22,The Open University in England,0
All,Greece,All,All,2021/22,England,5850
All,Greece,All,All,2021/22,Wales,275
All,Greece,All,All,2021/22,Scotland,950
All,Greece,All,All,2021/22,Northern Ireland,20
All,Greece,All,All,2021/22,Total United Kingdom,7100
All,Greece,Postgraduate (research),Full-time,2021/22,North East,20
All,Greece,Postgraduate (research),Full-time,2021/22,North West,75
All,Greece,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,45
All,Greece,Postgraduate (research),Full-time,2021/22,East Midlands,45
All,Greece,Postgraduate (research),Full-time,2021/22,West Midlands,60
All,Greece,Postgraduate (research),Full-time,2021/22,East of England,80
All,Greece,Postgraduate (research),Full-time,2021/22,London,210
All,Greece,Postgraduate (research),Full-time,2021/22,South East,115
All,Greece,Postgraduate (research),Full-time,2021/22,South West,30
All,Greece,Postgraduate (research),Full-time,2021/22,The Open University in England,0
All,Greece,Postgraduate (research),Full-time,2021/22,England,680
All,Greece,Postgraduate (research),Full-time,2021/22,Wales,15
All,Greece,Postgraduate (research),Full-time,2021/22,Scotland,135
All,Greece,Postgraduate (research),Full-time,2021/22,Northern Ireland,10
All,Greece,Postgraduate (research),Full-time,2021/22,Total United Kingdom,845
All,Greece,Postgraduate (research),Part-time,2021/22,North East,10
All,Greece,Postgraduate (research),Part-time,2021/22,North West,10
All,Greece,Postgraduate (research),Part-time,2021/22,Yorkshire and The Humber,5
All,Greece,Postgraduate (research),Part-time,2021/22,East Midlands,5
All,Greece,Postgraduate (research),Part-time,2021/22,West Midlands,15
All,Greece,Postgraduate (research),Part-time,2021/22,East of England,15
All,Greece,Postgraduate (research),Part-time,2021/22,London,45
All,Greece,Postgraduate (research),Part-time,2021/22,South East,15
All,Greece,Postgraduate (research),Part-time,2021/22,South West,10
All,Greece,Postgraduate (research),Part-time,2021/22,The Open University in England,0
All,Greece,Postgraduate (research),Part-time,2021/22,England,125
All,Greece,Postgraduate (research),Part-time,2021/22,Wales,5
All,Greece,Postgraduate (research),Part-time,2021/22,Scotland,20
All,Greece,Postgraduate (research),Part-time,2021/22,Northern Ireland,0
All,Greece,Postgraduate (research),Part-time,2021/22,Total United Kingdom,155
All,Greece,Postgraduate (research),All,2021/22,North East,30
All,Greece,Postgraduate (research),All,2021/22,North West,85
All,Greece,Postgraduate (research),All,2021/22,Yorkshire and The Humber,55
All,Greece,Postgraduate (research),All,2021/22,East Midlands,50
All,Greece,Postgraduate (research),All,2021/22,West Midlands,75
All,Greece,Postgraduate (research),All,2021/22,East of England,95
All,Greece,Postgraduate (research),All,2021/22,London,255
All,Greece,Postgraduate (research),All,2021/22,South East,130
All,Greece,Postgraduate (research),All,2021/22,South West,40
All,Greece,Postgraduate (research),All,2021/22,The Open University in England,0
All,Greece,Postgraduate (research),All,2021/22,England,810
All,Greece,Postgraduate (research),All,2021/22,Wales,25
All,Greece,Postgraduate (research),All,2021/22,Scotland,155
All,Greece,Postgraduate (research),All,2021/22,Northern Ireland,10
All,Greece,Postgraduate (research),All,2021/22,Total United Kingdom,995
All,Greece,Postgraduate (taught),Full-time,2021/22,North East,80
All,Greece,Postgraduate (taught),Full-time,2021/22,North West,50
All,Greece,Postgraduate (taught),Full-time,2021/22,Yorkshire and The Humber,40
