4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Ukraine,Postgraduate (taught),All,2021/22,South West,10
All,Ukraine,Postgraduate (taught),All,2021/22,The Open University in England,0
All,Ukraine,Postgraduate (taught),All,2021/22,England,205
All,Ukraine,Postgraduate (taught),All,2021/22,Wales,5
All,Ukraine,Postgraduate (taught),All,2021/22,Scotland,35
All,Ukraine,Postgraduate (taught),All,2021/22,Northern Ireland,5
All,Ukraine,Postgraduate (taught),All,2021/22,Total United Kingdom,245
All,Ukraine,All postgraduate,Full-time,2021/22,North East,10
All,Ukraine,All postgraduate,Full-time,2021/22,North West,10
All,Ukraine,All postgraduate,Full-time,2021/22,Yorkshire and The Humber,10
All,Ukraine,All postgraduate,Full-time,2021/22,East Midlands,10
All,Ukraine,All postgraduate,Full-time,2021/22,West Midlands,20
All,Ukraine,All postgraduate,Full-time,2021/22,East of England,15
All,Ukraine,All postgraduate,Full-time,2021/22,London,105
All,Ukraine,All postgraduate,Full-time,2021/22,South East,15
All,Ukraine,All postgraduate,Full-time,2021/22,South West,15
All,Ukraine,All postgraduate,Full-time,2021/22,The Open University in England,0
All,Ukraine,All postgraduate,Full-time,2021/22,England,205
All,Ukraine,All postgraduate,Full-time,2021/22,Wales,5
All,Ukraine,All postgraduate,Full-time,2021/22,Scotland,40
All,Ukraine,All postgraduate,Full-time,2021/22,Northern Ireland,5
All,Ukraine,All postgraduate,Full-time,2021/22,Total United Kingdom,260
All,Ukraine,All postgraduate,Part-time,2021/22,North East,0
All,Ukraine,All postgraduate,Part-time,2021/22,North West,0
All,Ukraine,All postgraduate,Part-time,2021/22,Yorkshire and The Humber,0
All,Ukraine,All postgraduate,Part-time,2021/22,East Midlands,0
All,Ukraine,All postgraduate,Part-time,2021/22,West Midlands,0
All,Ukraine,All postgraduate,Part-time,2021/22,East of England,5
All,Ukraine,All postgraduate,Part-time,2021/22,London,15
All,Ukraine,All postgraduate,Part-time,2021/22,South East,5
All,Ukraine,All postgraduate,Part-time,2021/22,South West,0
All,Ukraine,All postgraduate,Part-time,2021/22,The Open University in England,0
All,Ukraine,All postgraduate,Part-time,2021/22,England,30
All,Ukraine,All postgraduate,Part-time,2021/22,Wales,0
All,Ukraine,All postgraduate,Part-time,2021/22,Scotland,5
All,Ukraine,All postgraduate,Part-time,2021/22,Northern Ireland,0
All,Ukraine,All postgraduate,Part-time,2021/22,Total United Kingdom,35
All,Ukraine,All postgraduate,All,2021/22,North East,10
All,Ukraine,All postgraduate,All,2021/22,North West,10
All,Ukraine,All postgraduate,All,2021/22,Yorkshire and The Humber,10
All,Ukraine,All postgraduate,All,2021/22,East Midlands,10
All,Ukraine,All postgraduate,All,2021/22,West Midlands,25
All,Ukraine,All postgraduate,All,2021/22,East of England,15
All,Ukraine,All postgraduate,All,2021/22,London,120
All,Ukraine,All postgraduate,All,2021/22,South East,15
All,Ukraine,All postgraduate,All,2021/22,South West,15
All,Ukraine,All postgraduate,All,2021/22,The Open University in England,0
All,Ukraine,All postgraduate,All,2021/22,England,235
All,Ukraine,All postgraduate,All,2021/22,Wales,10
All,Ukraine,All postgraduate,All,2021/22,Scotland,45
All,Ukraine,All postgraduate,All,2021/22,Northern Ireland,5
All,Ukraine,All postgraduate,All,2021/22,Total United Kingdom,295
All,Ukraine,First degree,Full-time,2021/22,North East,20
All,Ukraine,First degree,Full-time,2021/22,North West,30
All,Ukraine,First degree,Full-time,2021/22,Yorkshire and The Humber,20
All,Ukraine,First degree,Full-time,2021/22,East Midlands,20
All,Ukraine,First degree,Full-time,2021/22,West Midlands,35
All,Ukraine,First degree,Full-time,2021/22,East of England,35
All,Ukraine,First degree,Full-time,2021/22,London,255
All,Ukraine,First degree,Full-time,2021/22,South East,55
All,Ukraine,First degree,Full-time,2021/22,South West,50
All,Ukraine,First degree,Full-time,2021/22,The Open University in England,0
All,Ukraine,First degree,Full-time,2021/22,England,525
All,Ukraine,First degree,Full-time,2021/22,Wales,5
All,Ukraine,First degree,Full-time,2021/22,Scotland,35
All,Ukraine,First degree,Full-time,2021/22,Northern Ireland,0
All,Ukraine,First degree,Full-time,2021/22,Total United Kingdom,565
All,Ukraine,First degree,Part-time,2021/22,North East,0
All,Ukraine,First degree,Part-time,2021/22,North West,0
All,Ukraine,First degree,Part-time,2021/22,Yorkshire and The Humber,0
All,Ukraine,First degree,Part-time,2021/22,East Midlands,0
All,Ukraine,First degree,Part-time,2021/22,West Midlands,0
All,Ukraine,First degree,Part-time,2021/22,East of England,0
All,Ukraine,First degree,Part-time,2021/22,London,5
All,Ukraine,First degree,Part-time,2021/22,South East,0
All,Ukraine,First degree,Part-time,2021/22,South West,0
All,Ukraine,First degree,Part-time,2021/22,The Open University in England,0
All,Ukraine,First degree,Part-time,2021/22,England,10
All,Ukraine,First degree,Part-time,2021/22,Wales,0
All,Ukraine,First degree,Part-time,2021/22,Scotland,0
All,Ukraine,First degree,Part-time,2021/22,Northern Ireland,0
All,Ukraine,First degree,Part-time,2021/22,Total United Kingdom,10
All,Ukraine,First degree,All,2021/22,North East,20
All,Ukraine,First degree,All,2021/22,North West,30
All,Ukraine,First degree,All,2021/22,Yorkshire and The Humber,20
All,Ukraine,First degree,All,2021/22,East Midlands,20
All,Ukraine,First degree,All,2021/22,West Midlands,35
All,Ukraine,First degree,All,2021/22,East of England,35
All,Ukraine,First degree,All,2021/22,London,260
All,Ukraine,First degree,All,2021/22,South East,60
All,Ukraine,First degree,All,2021/22,South West,50
All,Ukraine,First degree,All,2021/22,The Open University in England,0
All,Ukraine,First degree,All,2021/22,England,535
All,Ukraine,First degree,All,2021/22,Wales,5
All,Ukraine,First degree,All,2021/22,Scotland,35
All,Ukraine,First degree,All,2021/22,Northern Ireland,0
All,Ukraine,First degree,All,2021/22,Total United Kingdom,580
All,Ukraine,Other undergraduate,Full-time,2021/22,North East,5
All,Ukraine,Other undergraduate,Full-time,2021/22,North West,0
All,Ukraine,Other undergraduate,Full-time,2021/22,Yorkshire and The Humber,0
All,Ukraine,Other undergraduate,Full-time,2021/22,East Midlands,0
All,Ukraine,Other undergraduate,Full-time,2021/22,West Midlands,0
All,Ukraine,Other undergraduate,Full-time,2021/22,East of England,5
All,Ukraine,Other undergraduate,Full-time,2021/22,London,25
All,Ukraine,Other undergraduate,Full-time,2021/22,South East,5
All,Ukraine,Other undergraduate,Full-time,2021/22,South West,10
All,Ukraine,Other undergraduate,Full-time,2021/22,The Open University in England,0
All,Ukraine,Other undergraduate,Full-time,2021/22,England,45
All,Ukraine,Other undergraduate,Full-time,2021/22,Wales,0
All,Ukraine,Other undergraduate,Full-time,2021/22,Scotland,5
All,Ukraine,Other undergraduate,Full-time,2021/22,Northern Ireland,0
All,Ukraine,Other undergraduate,Full-time,2021/22,Total United Kingdom,45
All,Ukraine,Other undergraduate,Part-time,2021/22,North East,0
All,Ukraine,Other undergraduate,Part-time,2021/22,North West,0
All,Ukraine,Other undergraduate,Part-time,2021/22,Yorkshire and The Humber,0
All,Ukraine,Other undergraduate,Part-time,2021/22,East Midlands,0
All,Ukraine,Other undergraduate,Part-time,2021/22,West Midlands,0
All,Ukraine,Other undergraduate,Part-time,2021/22,East of England,0
All,Ukraine,Other undergraduate,Part-time,2021/22,London,5
All,Ukraine,Other undergraduate,Part-time,2021/22,South East,0
All,Ukraine,Other undergraduate,Part-time,2021/22,South West,0
All,Ukraine,Other undergraduate,Part-time,2021/22,The Open University in England,0
All,Ukraine,Other undergraduate,Part-time,2021/22,England,5
All,Ukraine,Other undergraduate,Part-time,2021/22,Wales,0
All,Ukraine,Other undergraduate,Part-time,2021/22,Scotland,0
All,Ukraine,Other undergraduate,Part-time,2021/22,Northern Ireland,0
All,Ukraine,Other undergraduate,Part-time,2021/22,Total United Kingdom,5
All,Ukraine,Other undergraduate,All,2021/22,North East,5
All,Ukraine,Other undergraduate,All,2021/22,North West,0
All,Ukraine,Other undergraduate,All,2021/22,Yorkshire and The Humber,0
All,Ukraine,Other undergraduate,All,2021/22,East Midlands,0
All,Ukraine,Other undergraduate,All,2021/22,West Midlands,0
All,Ukraine,Other undergraduate,All,2021/22,East of England,5
All,Ukraine,Other undergraduate,All,2021/22,London,25
All,Ukraine,Other undergraduate,All,2021/22,South East,5
All,Ukraine,Other undergraduate,All,2021/22,South West,10
All,Ukraine,Other undergraduate,All,2021/22,The Open University in England,0
All,Ukraine,Other undergraduate,All,2021/22,England,45
All,Ukraine,Other undergraduate,All,2021/22,Wales,0
All,Ukraine,Other undergraduate,All,2021/22,Scotland,5
All,Ukraine,Other undergraduate,All,2021/22,Northern Ireland,0
All,Ukraine,Other undergraduate,All,2021/22,Total United Kingdom,50
All,Ukraine,All undergraduate,Full-time,2021/22,North East,25
All,Ukraine,All undergraduate,Full-time,2021/22,North West,30
All,Ukraine,All undergraduate,Full-time,2021/22,Yorkshire and The Humber,20
All,Ukraine,All undergraduate,Full-time,2021/22,East Midlands,20
All,Ukraine,All undergraduate,Full-time,2021/22,West Midlands,35
All,Ukraine,All undergraduate,Full-time,2021/22,East of England,40
All,Ukraine,All undergraduate,Full-time,2021/22,London,280
All,Ukraine,All undergraduate,Full-time,2021/22,South East,60
All,Ukraine,All undergraduate,Full-time,2021/22,South West,60
All,Ukraine,All undergraduate,Full-time,2021/22,The Open University in England,0
All,Ukraine,All undergraduate,Full-time,2021/22,England,565
All,Ukraine,All undergraduate,Full-time,2021/22,Wales,5
All,Ukraine,All undergraduate,Full-time,2021/22,Scotland,40
All,Ukraine,All undergraduate,Full-time,2021/22,Northern Ireland,0
All,Ukraine,All undergraduate,Full-time,2021/22,Total United Kingdom,615
All,Ukraine,All undergraduate,Part-time,2021/22,North East,0
All,Ukraine,All undergraduate,Part-time,2021/22,North West,0
All,Ukraine,All undergraduate,Part-time,2021/22,Yorkshire and The Humber,0
All,Ukraine,All undergraduate,Part-time,2021/22,East Midlands,0
All,Ukraine,All undergraduate,Part-time,2021/22,West Midlands,0
All,Ukraine,All undergraduate,Part-time,2021/22,East of England,0
All,Ukraine,All undergraduate,Part-time,2021/22,London,10
All,Ukraine,All undergraduate,Part-time,2021/22,South East,0
All,Ukraine,All undergraduate,Part-time,2021/22,South West,0
All,Ukraine,All undergraduate,Part-time,2021/22,The Open University in England,0
All,Ukraine,All undergraduate,Part-time,2021/22,England,15
All,Ukraine,All undergraduate,Part-time,2021/22,Wales,0
All,Ukraine,All undergraduate,Part-time,2021/22,Scotland,0
All,Ukraine,All undergraduate,Part-time,2021/22,Northern Ireland,0
All,Ukraine,All undergraduate,Part-time,2021/22,Total United Kingdom,15
All,Ukraine,All undergraduate,All,2021/22,North East,25
All,Ukraine,All undergraduate,All,2021/22,North West,30
All,Ukraine,All undergraduate,All,2021/22,Yorkshire and The Humber,20
All,Ukraine,All undergraduate,All,2021/22,East Midlands,20
All,Ukraine,All undergraduate,All,2021/22,West Midlands,35
All,Ukraine,All undergraduate,All,2021/22,East of England,40
All,Ukraine,All undergraduate,All,2021/22,London,290
All,Ukraine,All undergraduate,All,2021/22,South East,60
All,Ukraine,All undergraduate,All,2021/22,South West,60
All,Ukraine,All undergraduate,All,2021/22,The Open University in England,0
All,Ukraine,All undergraduate,All,2021/22,England,580
All,Ukraine,All undergraduate,All,2021/22,Wales,5
All,Ukraine,All undergraduate,All,2021/22,Scotland,40
All,Ukraine,All undergraduate,All,2021/22,Northern Ireland,5
All,Ukraine,All undergraduate,All,2021/22,Total United Kingdom,630
